year,CTY_CODE,CTYNAME,I_1,IYR,E_1,EYR
2008,6862,Nauru,0.013083,0.744456,0.784848,11.240397
2009,6862,Nauru,0.014754,0.122125,0.725959,3.687213
2010,6862,Nauru,0.034764,0.219538,0.302159,2.492127
2011,6862,Nauru,0.069368,0.319977,0.037067,0.499196
2012,6862,Nauru,0.008905,0.473434,0,2.20892
2013,6862,Nauru,0.006684,0.154892,0,0.510707
2001,6863,Fiji,13.6,182.3,1.5,19.4
2002,6863,Fiji,9.6,156.5,1.3,16.9
2003,6863,Fiji,9.692622,175.393308,1.534054,19.546089
2004,6863,Fiji,11.918069,213.465821,1.788295,25.407247
2005,6863,Fiji,11.983555,169.460711,1.637296,28.177593
2006,6863,Fiji,7.621074,145.801077,2.004289,32.548798
2007,6863,Fiji,7.87464,152.828046,1.562196,29.942761
2008,6863,Fiji,7.385526,161.812713,2.313689,55.02024
2009,6863,Fiji,10.094484,144.110991,2.316892,31.172353
2010,6863,Fiji,8.301148,179.10107,7.098811,43.972153
2011,6863,Fiji,7.61026,131.547088,1.853158,42.623694
2012,6863,Fiji,12.836312,188.656541,2.225178,55.569908
2013,6863,Fiji,15.599162,88.233797,4.977658,32.873255
2001,6864,Tonga,0.4,7.6,0.2,4.8
2002,6864,Tonga,0.6,9.2,0.3,11.1
2003,6864,Tonga,0.444197,13.142458,0.340331,5.738295
2004,6864,Tonga,0.436282,5.210978,0.72086,7.293736
2005,6864,Tonga,0.264962,5.350431,0.424624,9.685131
2006,6864,Tonga,0.621132,7.259582,2.035526,10.537182
2007,6864,Tonga,0.677626,5.469812,0.855084,13.233104
2008,6864,Tonga,0.264581,4.47448,0.731347,13.73036
2009,6864,Tonga,0.310419,3.362127,0.68723,12.942138
2010,6864,Tonga,0.187118,1.833205,2.519793,20.678902
2011,6864,Tonga,0.114038,1.662145,1.346543,19.269574
2012,6864,Tonga,0.060437,2.247827,2.169884,26.892624
2013,6864,Tonga,0.100972,0.786167,1.061751,9.518631
2001,7140,Morocco,32.4,434.6,25.8,281.9
2002,7140,Morocco,32.9,392.4,149.9,565.5
2003,7140,Morocco,37.108922,385.151338,74.716058,468.499361
2004,7140,Morocco,45.162716,515.194154,84.241335,498.30757
2005,7140,Morocco,39.754653,445.793996,50.200129,480.792527
2006,7140,Morocco,38.729082,521.362592,40.542039,837.929033
2007,7140,Morocco,47.837337,609.943212,65.652638,1294.157002
2008,7140,Morocco,54.457042,878.729037,121.395468,1435.863486
2009,7140,Morocco,43.771541,468.006756,81.830688,1630.259886
2010,7140,Morocco,49.899299,685.506959,162.045278,1947.613644
2011,7140,Morocco,59.733572,995.660068,249.956899,2822.340842
2012,7140,Morocco,92.77452,932.125731,200.992951,2175.222761
2013,7140,Morocco,93.899992,495.637076,131.296391,1204.974438
2001,7210,Algeria,279.6,2702,174,1037.9
2002,7210,Algeria,151.8,2360.2,68.6,984.4
2003,7210,Algeria,292.358231,4748.410137,32.439498,487.381152
2004,7210,Algeria,358.672699,7409.533543,48.849311,971.581705
2005,7210,Algeria,528.855075,10446.43785,88.425288,1106.190448
2006,7210,Algeria,870.19649,15455.92924,63.415173,1101.903341
2007,7210,Algeria,1374.928981,17816.05397,96.11268,1652.434839
2008,7210,Algeria,1763.112339,19354.78102,75.462783,1243.228549
2009,7210,Algeria,776.214867,10717.80914,42.295538,1107.826652
2010,7210,Algeria,1312.192687,14517.95593,85.1129,1194.325446
2011,7210,Algeria,1533.946974,14609.28537,73.559376,1595.156783
2012,7210,Algeria,898.022832,9993.334569,65.734774,1362.270264
2013,7210,Algeria,748.558114,2458.879606,167.972033,1112.427102
2001,7230,Tunisia,13.7,121.8,26,276
2002,7230,Tunisia,9.3,93.1,31.4,194.7
2003,7230,Tunisia,8.896335,102.36493,17.623196,170.508559
2004,7230,Tunisia,17.711987,209.148374,37.566295,258.166185
2005,7230,Tunisia,9.481491,263.768113,11.608811,261.16652
2006,7230,Tunisia,28.772472,470.269514,27.287624,362.97007
2007,7230,Tunisia,26.995512,457.626409,36.063883,402.99902
2008,7230,Tunisia,21.786797,644.062681,63.240979,502.430863
2009,7230,Tunisia,24.932546,325.785611,24.347945,501.332614
2010,7230,Tunisia,22.934306,405.45748,26.712982,572.78085
2011,7230,Tunisia,21.825893,352.049887,37.741139,587.943913
2012,7230,Tunisia,68.839616,737.860762,77.390208,618.855839
2013,7230,Tunisia,72.36809,414.95112,52.0476,386.345588
2001,7250,Libya,0,0,0,9
2002,7250,Libya,0,0,0,18.3
2003,7250,Libya,0,0,0,0.225546
2004,7250,Libya,0,331.588512,1.438447,39.202016
2005,7250,Libya,25.798963,1590.341099,3.35067,83.841985
2006,7250,Libya,102.150963,2472.203907,14.711262,383.744472
2007,7250,Libya,157.163183,3385.227538,30.514336,510.834249
2008,7250,Libya,387.299312,4178.646777,39.633541,720.871828
2009,7250,Libya,107.060045,1918.502226,36.302905,665.507651
2010,7250,Libya,56.755145,2116.835644,53.234764,665.533976
2011,7250,Libya,193.77209,645.010462,72.969035,307.230707
2012,7250,Libya,30.693201,2493.042856,30.33817,549.007772
2013,7250,Libya,162.859367,1556.877149,52.764232,502.513676
2001,7290,Egypt,73,882.3,179.9,3564.5
2002,7290,Egypt,68.7,1355.9,233.6,2868.6
2003,7290,Egypt,144.258729,1143.042341,210.670925,2606.749104
2004,7290,Egypt,66.03476,1283.838703,284.326924,3077.754682
2005,7290,Egypt,152.036988,2091.236887,286.29853,3159.259288
2006,7290,Egypt,225.173391,2395.831868,295.264767,4028.986029
2007,7290,Egypt,174.845207,2376.708563,354.731159,5259.281033
2008,7290,Egypt,186.602523,2370.437872,452.235655,6002.196132
2009,7290,Egypt,168.521203,2057.71362,325.327489,5253.082399
2010,7290,Egypt,306.44178,2238.217595,439.447515,6832.542194
2011,7290,Egypt,171.014851,2058.701225,659.150182,6221.734124
2012,7290,Egypt,152.369075,2999.962766,388.376467,5499.186752
2013,7290,Egypt,136.910453,906.409128,472.833443,3002.181816
2001,7320,Sudan,0.6,3.4,0.1,16.9
2002,7320,Sudan,0,1.4,0.3,10.7
2003,7320,Sudan,0,2.775261,4.186326,26.199406
2004,7320,Sudan,0,3.713949,0.1775,68.358117
2005,7320,Sudan,0.72,13.574271,10.619503,108.105454
2006,7320,Sudan,1.382,6.208722,5.252083,76.924039
2007,7320,Sudan,1.043862,7.477239,2.40727,79.129315
2008,7320,Sudan,0.14,5.011426,19.535003,143.305018
2009,7320,Sudan,0.532878,9.882346,16.800326,78.414774
2010,7320,Sudan,0.482274,8.067712,11.091959,115.617732
2011,7320,Sudan,0.341,6.19369,1.364713,14.745771
2011,7321,Sudan,0,4.159674,0,59.93242
2012,7321,Sudan,0.849762,6.524197,4.456897,55.49129
2013,7321,Sudan,0.256,4.724512,0.574883,27.372801
2011,7323,South Sudan,0,0.017202,0,7.361905
2012,7323,South Sudan,0.000862,0.009869,1.819443,32.540784
2013,7323,South Sudan,0.04018,0.07262,12.121889,14.035534
2001,7370,Western Sahara,0,0,0,0
2002,7370,Western Sahara,0,0,0,0
2003,7370,Western Sahara,0,0.002909,0,0.028112
2004,7370,Western Sahara,0,0,0,0.022603
2005,7370,Western Sahara,0,0,0,0.028656
2006,7370,Western Sahara,0,0,0,0.016063
2007,7370,Western Sahara,0,0.04769,0,0.344442
2008,7370,Western Sahara,0,0.0042,0.006254,0.091132
2009,7370,Western Sahara,0,0,0.021695,0.158569
2010,7370,Western Sahara,0.000019,0.000019,0,0.053902
2011,7370,Western Sahara,0,0.017651,0,0.007665
2012,7370,Western Sahara,0,0.114438,0,0.05885
2013,7370,Western Sahara,0.003212,0.008499,0,0.019887
2001,7380,Equatorial Guinea,27.8,463.8,6.8,80.3
2002,7380,Equatorial Guinea,30.9,502,5.6,108.9
2003,7380,Equatorial Guinea,24.246798,903.522515,29.223581,335.713079
2004,7380,Equatorial Guinea,98.440879,1170.293767,41.853827,215.385602
2005,7380,Equatorial Guinea,83.772917,1561.137497,14.663022,281.472431
2006,7380,Equatorial Guinea,203.517275,1732.9685,56.914587,551.498185
2007,7380,Equatorial Guinea,263.787937,1776.930965,27.060888,236.3997
2008,7380,Equatorial Guinea,179.277793,3367.281138,15.025251,184.514829
2009,7380,Equatorial Guinea,150.729873,2489.126608,11.665261,305.594459
2010,7380,Equatorial Guinea,155.763432,2213.646595,26.066525,272.137422
2011,7380,Equatorial Guinea,215.881695,1190.780854,14.35239,285.293231
2012,7380,Equatorial Guinea,177.72086,1699.803812,19.784449,232.617254
2013,7380,Equatorial Guinea,72.156926,318.306286,38.551852,642.705789
2001,7410,Mauritania,0,0.3,2.4,25.5
2002,7410,Mauritania,0.1,0.9,0.7,22.8
2003,7410,Mauritania,0.011395,0.92905,1.944765,34.8806
2004,7410,Mauritania,2.759584,7.347415,2.449312,34.403132
2005,7410,Mauritania,0.133106,0.825319,5.445547,86.135221
2006,7410,Mauritania,0.00871,51.165461,2.369279,90.146958
2007,7410,Mauritania,0.004195,0.722494,39.191523,102.657391
2008,7410,Mauritania,0.042012,46.285098,2.981091,106.60383
2009,7410,Mauritania,0.030695,34.74228,8.276159,56.280371
2010,7410,Mauritania,25.805927,52.863815,3.26089,84.343006
2011,7410,Mauritania,0.062046,0.965142,7.583934,243.272111
2012,7410,Mauritania,0.22214,0.694097,17.191479,291.59075
2013,7410,Mauritania,0.006293,65.454705,9.675645,126.062693
2001,7420,Cameroon,2.1,101.7,110.1,184
2002,7420,Cameroon,3.5,172.2,5.3,155.9
2003,7420,Cameroon,13.28241,213.979617,7.596123,90.744197
2004,7420,Cameroon,30.189371,308.246287,4.078101,99.587226
2005,7420,Cameroon,35.597697,158.161864,11.631001,117.313887
2006,7420,Cameroon,9.110398,273.306894,5.767866,120.048004
2007,7420,Cameroon,29.292781,297.256563,3.884096,132.920223
2008,7420,Cameroon,4.288627,614.041521,4.319616,125.06707
2009,7420,Cameroon,18.635979,249.73302,9.004326,153.522465
2010,7420,Cameroon,3.595066,297.061683,11.141909,132.270395
2011,7420,Cameroon,8.655998,330.391692,8.355186,220.546085
2012,7420,Cameroon,60.741385,308.25159,18.021314,253.004431
2013,7420,Cameroon,47.162348,171.656528,20.449514,164.950018
2001,7440,Senegal,3.8,104,4.9,79.6
2002,7440,Senegal,0.3,3.5,5.9,74.7
2003,7440,Senegal,0.073911,4.472363,6.828036,101.813201
2004,7440,Senegal,0.144127,2.997877,4.300742,89.420141
2005,7440,Senegal,0.270407,3.662962,5.569308,141.499953
2006,7440,Senegal,0.944463,20.735639,6.745659,96.865399
2007,7440,Senegal,2.69603,18.531679,10.354617,150.41468
2008,7440,Senegal,6.458483,17.948975,14.655403,137.103698
2009,7440,Senegal,0.249965,6.902523,7.527456,175.723538
2010,7440,Senegal,0.286312,5.11535,6.861468,218.782926
2011,7440,Senegal,0.278116,6.766267,27.425933,263.846654
2012,7440,Senegal,1.860098,16.771627,15.183241,149.299154
2013,7440,Senegal,1.437673,8.493997,13.699932,81.252159
2001,7450,Mali,0.2,6,1.4,32.6
2002,7450,Mali,0.1,2.6,1.1,11
2003,7450,Mali,0.166251,2.394273,2.228389,31.447402
2004,7450,Mali,0.117588,3.702422,1.462805,42.940934
2005,7450,Mali,0.146212,3.649953,3.799849,32.421928
2006,7450,Mali,0.150081,8.039348,1.352707,43.130545
2007,7450,Mali,0.308643,9.461812,2.587576,31.901355
2008,7450,Mali,0.415329,5.12888,1.634188,30.908863
2009,7450,Mali,0.437545,3.736022,2.441106,36.747987
2010,7450,Mali,0.731466,6.305215,1.0227,37.27432
2011,7450,Mali,0.105388,4.078609,3.177783,55.042436
2012,7450,Mali,0.19983,3.64375,2.522946,59.757939
2013,7450,Mali,0.193251,1.203085,6.405433,26.892873
2001,7460,Guinea,8.8,87.8,8.9,73.3
2002,7460,Guinea,6.7,71.7,4.7,62.9
2003,7460,Guinea,3.862925,69.173833,3.975672,35.817201
2004,7460,Guinea,4.595655,64.235127,3.947209,58.845384
2005,7460,Guinea,5.534651,74.733573,7.033781,93.59706
2006,7460,Guinea,6.120709,93.930743,5.824233,64.750375
2007,7460,Guinea,10.991212,99.153784,4.451918,73.531245
2008,7460,Guinea,20.123583,106.404893,6.711296,101.802826
2009,7460,Guinea,7.183437,67.270175,11.912725,94.793067
2010,7460,Guinea,5.560231,68.527476,3.484204,85.061952
2011,7460,Guinea,6.516049,80.662565,7.206664,256.074
2012,7460,Guinea,10.926986,103.058967,11.081954,154.588285
2013,7460,Guinea,4.279213,60.1968,5.031552,44.963928
2001,7470,Sierra Leone,0.3,4.4,3.6,27.8
2002,7470,Sierra Leone,0.3,3.8,3.1,25.1
2003,7470,Sierra Leone,0.429079,6.53718,2.39436,28.24436
2004,7470,Sierra Leone,0.431029,10.856649,3.239163,40.624624
2005,7470,Sierra Leone,0.392107,9.312822,3.105289,37.829353
2006,7470,Sierra Leone,1.063121,36.133793,2.041031,39.246151
2007,7470,Sierra Leone,2.166463,48.166794,1.161205,55.420539
2008,7470,Sierra Leone,4.070133,47.712613,2.946637,59.360501
2009,7470,Sierra Leone,1.46559,24.315031,2.102855,42.537601
2010,7470,Sierra Leone,5.28708,29.023924,2.278555,61.057483
2011,7470,Sierra Leone,0.931493,26.550327,7.570394,102.760973
2012,7470,Sierra Leone,2.602784,17.845303,5.847138,100.867159
2013,7470,Sierra Leone,1.745875,11.745119,4.207492,37.870014
2001,7480,Ivory Coast,39.7,333.3,8.7,96.8
2002,7480,Ivory Coast,49.7,376.5,7.4,76.3
2003,7480,Ivory Coast,105.739147,489.548907,6.6421,102.634337
2004,7480,Ivory Coast,73.624563,714.705523,3.157728,118.132556
2005,7480,Ivory Coast,112.708913,1197.97516,11.360585,124.242832
2006,7480,Ivory Coast,102.265211,701.643464,7.474836,147.461219
2007,7480,Ivory Coast,56.669561,600.126497,12.837211,161.604087
2008,7480,Ivory Coast,163.038713,1091.621084,21.325353,254.110055
2009,7480,Ivory Coast,111.367636,744.787235,25.545553,206.048254
2010,7480,Ivory Coast,234.338076,1176.742074,24.389452,162.845207
2011,7480,Ivory Coast,192.232322,1270.636148,5.655478,130.220776
2012,7480,Ivory Coast,179.010064,1099.48458,10.582598,188.178982
2013,7480,Ivory Coast,100.946994,632.434865,16.176096,92.53694
2001,7490,Ghana,12.9,187.1,15.9,199.6
2002,7490,Ghana,5.9,116.4,23.6,192.5
2003,7490,Ghana,11.706654,81.89928,11.792848,209.232186
2004,7490,Ghana,4.746733,145.415592,16.642445,309.647595
2005,7490,Ghana,8.584642,158.409617,17.540849,337.389713
2006,7490,Ghana,20.473667,192.183281,27.847522,289.476368
2007,7490,Ghana,8.084645,198.817253,20.804698,416.384899
2008,7490,Ghana,7.734568,222.167657,31.379922,608.412179
2009,7490,Ghana,9.152107,134.997139,35.884589,715.935461
2010,7490,Ghana,34.276443,273.398451,33.230891,989.339154
2011,7490,Ghana,17.504525,779.038216,88.411997,1196.817456
2012,7490,Ghana,19.377594,291.364949,91.922002,1322.288828
2013,7490,Ghana,22.598393,280.858555,154.104979,603.376175
2001,7500,Gambia,0,0.6,0.3,8.4
2002,7500,Gambia,0,0.3,0.4,9.5
2003,7500,Gambia,0.017808,0.134172,0.640131,26.65136
2004,7500,Gambia,0.080778,0.485562,0.668557,23.057741
2005,7500,Gambia,0.0026,0.427153,1.714191,30.604418
2006,7500,Gambia,0,0.286817,1.603926,21.202373
2007,7500,Gambia,0.0011,0.148308,0.681845,20.000988
2008,7500,Gambia,0,0.641418,1.679203,28.87832
2009,7500,Gambia,0.00102,1.213545,1.646613,33.648113
2010,7500,Gambia,0.488271,3.136988,3.688368,29.253787
2011,7500,Gambia,0.029766,0.082442,2.173393,29.361536
2012,7500,Gambia,0.015074,0.34889,2.280296,27.458509
2013,7500,Gambia,0.030105,0.595679,1.020925,18.586779
2001,7510,Niger,0.4,4.5,5.3,63.5
2002,7510,Niger,0,0.8,3.8,40.9
2003,7510,Niger,0.21492,4.01306,2.090495,33.618604
2004,7510,Niger,0.036925,26.918119,1.732989,34.026714
2005,7510,Niger,0.979568,65.51339,3.872122,78.511944
2006,7510,Niger,0.026749,123.747286,7.732883,129.173968
2007,7510,Niger,0.53128,9.55715,3.414343,69.308772
2008,7510,Niger,0.340362,44.331439,3.278417,50.007174
2009,7510,Niger,0.260137,106.262402,3.788959,58.240607
2010,7510,Niger,0.065965,26.51642,4.528391,48.886203
2011,7510,Niger,0.721128,288.675966,3.399968,47.880412
2012,7510,Niger,78.093204,81.719779,1.819534,37.362971
2013,7510,Niger,0.319019,0.838366,1.735716,24.894622
2001,7520,Togo,0.2,12.6,0.7,16.5
2002,7520,Togo,0.1,2.9,1.3,13.6
2003,7520,Togo,0.03489,5.819314,1.459781,15.238971
2004,7520,Togo,0.087627,1.581785,0.751314,23.709491
2005,7520,Togo,0.030556,6.439273,1.869043,27.928388
2006,7520,Togo,0.081173,3.554436,2.842482,108.427734
2007,7520,Togo,3.344609,5.038651,18.917325,287.594314
2008,7520,Togo,0.093186,11.126987,6.954039,117.125699
2009,7520,Togo,0.010277,6.640022,7.74131,124.798314
2010,7520,Togo,0.050237,9.120443,4.151585,157.620745
2011,7520,Togo,0.03692,30.536625,7.090504,209.637528
2012,7520,Togo,0.194089,51.910954,7.245363,370.621015
2013,7520,Togo,0.522952,4.325064,7.127767,329.693849
2001,7530,Nigeria,846.4,8774.9,65.9,955.1
2002,7530,Nigeria,328.5,5945.3,115.4,1057.7
2003,7530,Nigeria,855.400705,10393.59157,72.127288,1016.861767
2004,7530,Nigeria,882.167123,16248.52489,114.34285,1554.314906
2005,7530,Nigeria,1624.88205,24239.35673,93.323248,1619.788459
2006,7530,Nigeria,2543.317125,27863.11932,138.965982,2233.465992
2007,7530,Nigeria,2160.022706,32770.23223,167.413863,2777.942084
2008,7530,Nigeria,3801.75128,38068.00701,235.650938,4102.387055
2009,7530,Nigeria,692.379943,19128.17939,277.16483,3687.083853
2010,7530,Nigeria,2313.432494,30515.94985,215.8481,4060.548125
2011,7530,Nigeria,3231.435325,33854.18637,341.216419,4911.643533
2012,7530,Nigeria,1501.876403,19014.22437,310.011925,5028.589718
2013,7530,Nigeria,1544.545796,7951.910473,436.476086,2746.27539
2001,7540,Central African Republic,0.8,2.5,0,3.7
2002,7540,Central African Republic,0,2.1,0.1,6.5
2003,7540,Central African Republic,0.068935,1.959194,0.893551,7.42247
2004,7540,Central African Republic,0.042588,8.7605,0.164901,30.011885
2005,7540,Central African Republic,0.281735,5.696947,1.017573,14.781003
2006,7540,Central African Republic,0.865562,4.295135,3.446687,25.088871
2007,7540,Central African Republic,0.742977,2.875393,1.160015,19.747922
2008,7540,Central African Republic,0.037503,8.586942,2.251656,23.302776
2009,7540,Central African Republic,0.465243,3.387792,0.68917,31.485494
2010,7540,Central African Republic,0.218191,5.715349,2.37847,10.339636
2011,7540,Central African Republic,0.324931,5.998567,0.743903,12.335446
2012,7540,Central African Republic,0.573523,4.070088,0.018225,8.52289
2013,7540,Central African Republic,0.025791,2.362711,1.50427,2.402233
2001,7550,Gabon,124.3,1659.8,6,73
2002,7550,Gabon,123.6,1587.4,3,65.6
2003,7550,Gabon,104.585368,1969.523773,4.555142,62.995871
2004,7550,Gabon,119.847789,2466.704034,22.176058,93.045802
2005,7550,Gabon,257.289674,2815.602273,3.71134,99.105857
2006,7550,Gabon,114.002425,1361.2083,7.101339,135.294305
2007,7550,Gabon,279.093544,2181.807539,12.936829,477.645795
2008,7550,Gabon,188.616219,2278.515032,16.67172,283.989863
2009,7550,Gabon,103.244887,1230.680274,12.970278,170.755956
2010,7550,Gabon,69.414239,2211.988341,12.14067,242.998852
2011,7550,Gabon,436.423503,4566.651306,15.985412,204.160578
2012,7550,Gabon,168.965956,1885.875183,17.86755,319.048237
2013,7550,Gabon,6.044244,345.662169,11.985953,118.77471
2001,7560,Chad,0.3,5.7,6.2,137.2
2002,7560,Chad,0.1,5.5,2.8,127.4
2003,7560,Chad,0.119749,22.494343,9.5188,64.374425
2004,7560,Chad,68.053968,756.22424,2.647193,41.432975
2005,7560,Chad,66.477512,1498.086294,6.018512,53.752155
2006,7560,Chad,107.146853,1917.967195,1.924299,61.309347
2007,7560,Chad,103.007913,2145.358641,5.66148,66.242263
2008,7560,Chad,286.39534,3334.330745,3.377701,62.51546
2009,7560,Chad,169.282492,1984.05044,2.362906,62.689577
2010,7560,Chad,190.306943,2044.099705,5.786099,89.670008
2011,7560,Chad,271.897041,3174.02868,2.276281,35.247482
2012,7560,Chad,199.580001,2660.336285,2.420574,36.567096
2013,7560,Chad,244.980588,1194.555654,3.902951,21.338351
2001,7580,St Helena,0,3.2,2.5,4.3
2002,7580,St Helena,0.5,4,0.1,2.1
2003,7580,St Helena,2.302818,5.603423,0.147627,2.285481
2004,7580,St Helena,1.209888,4.90795,2.552282,7.132017
2005,7580,St Helena,0.101013,3.269267,0.418218,2.732629
2006,7580,St Helena,0.14618,1.580295,0.024321,1.754323
2007,7580,St Helena,0.014044,5.322626,0.103113,3.279597
2008,7580,St Helena,2.130167,10.244513,0.040789,2.034633
2009,7580,St Helena,0.005302,6.12588,1.35911,2.893506
2010,7580,St Helena,0.813641,7.21059,0.015578,0.692094
2011,7580,St Helena,0.761394,8.482781,0.055473,1.90189
2012,7580,St Helena,1.326775,6.575281,0.124502,4.847886
2013,7580,St Helena,1.104944,5.361373,2.598473,2.821474
2001,7600,Burkina Faso,0,5,0.3,4.4
2002,7600,Burkina Faso,0,2.9,0.4,18.6
2003,7600,Burkina Faso,0.110166,0.892528,1.428951,10.954137
2004,7600,Burkina Faso,0.019091,0.583101,1.274615,21.98331
2005,7600,Burkina Faso,0.012182,2.084203,3.167321,25.11081
2006,7600,Burkina Faso,0.029051,1.019743,3.748985,18.104296
2007,7600,Burkina Faso,0.564772,1.46637,2.813012,33.139512
2008,7600,Burkina Faso,0.078167,0.584724,0.286489,24.49257
2009,7600,Burkina Faso,0.113838,2.116452,3.128642,25.823754
2010,7600,Burkina Faso,0.01831,2.378915,0.820823,46.587532
2011,7600,Burkina Faso,0.593146,3.605288,2.710897,33.256225
2012,7600,Burkina Faso,0.092422,2.303644,2.210985,47.276772
2013,7600,Burkina Faso,0.283336,1.221822,5.910897,36.782564
2001,7610,Benin,0.1,1.2,2.3,32.4
2002,7610,Benin,0.1,0.6,2.5,35
2003,7610,Benin,0,0.602399,3.012153,30.150963
2004,7610,Benin,0.108736,1.524534,2.072737,45.840357
2005,7610,Benin,0.04981,0.513184,4.296907,72.278749
2006,7610,Benin,0.00229,0.555323,3.703568,115.490858
2007,7610,Benin,0.022327,5.076221,14.218851,289.417071
2008,7610,Benin,0.010535,31.009581,45.994365,846.307384
2009,7610,Benin,0.002185,0.44115,36.046545,397.376762
2010,7610,Benin,0.009811,0.275757,20.273975,462.53482
2011,7610,Benin,0.000513,1.970887,36.77279,617.392038
2012,7610,Benin,0.002108,2.67358,24.776018,573.597003
2013,7610,Benin,0.405834,1.713247,34.100404,302.550924
2001,7620,Angola,267.7,3095.8,25.6,275.9
2002,7620,Angola,213.9,3122.7,18.9,374.2
2003,7620,Angola,297.081482,4267.056964,41.297867,490.609324
2004,7620,Angola,275.610571,4521.169795,94.790203,593.896743
2005,7620,Angola,449.996467,8484.361601,49.260277,929.046776
2006,7620,Angola,736.720546,11719.16385,65.461945,1388.849572
2007,7620,Angola,1036.064412,12507.55036,109.073359,1242.031263
2008,7620,Angola,1507.880921,18911.30818,93.852608,2019.179085
2009,7620,Angola,727.501186,9338.889049,97.852102,1423.050894
2010,7620,Angola,738.391261,11939.57187,64.833947,1293.490947
2011,7620,Angola,797.84836,13597.47343,106.113011,1500.420548
2012,7620,Angola,1465.097687,9823.874266,125.376395,1490.435547
2013,7620,Angola,788.518669,4491.13758,142.635028,658.924469
2001,7630,Congo (Brazzaville),39.2,473.6,8.4,90
2002,7630,Congo (Brazzaville),10,182,7.3,52.4
2003,7630,Congo (Brazzaville),40.542955,432.767451,5.716435,78.60846
2004,7630,Congo (Brazzaville),9.036162,857.543817,4.753276,65.716604
2005,7630,Congo (Brazzaville),95.577733,1622.90154,15.628368,104.056096
2006,7630,Congo (Brazzaville),199.669075,3097.196829,5.506908,138.004892
2007,7630,Congo (Brazzaville),206.884354,3070.660832,8.363151,140.034863
2008,7630,Congo (Brazzaville),563.182326,5073.722883,17.080909,184.589852
2009,7630,Congo (Brazzaville),181.915269,3104.966371,25.803917,276.930001
2010,7630,Congo (Brazzaville),293.478297,3316.007911,17.349085,254.428015
2011,7630,Congo (Brazzaville),186.70753,2420.086749,15.20075,226.932814
2012,7630,Congo (Brazzaville),267.598301,1488.475391,16.934066,237.221111
2013,7630,Congo (Brazzaville),24.931519,513.20044,18.042347,123.332427
2001,7642,Guinea-Bissau,0,0,0.4,0.8
2002,7642,Guinea-Bissau,0,0,0.2,2.4
2003,7642,Guinea-Bissau,1.811683,1.912498,0.086855,1.238467
2004,7642,Guinea-Bissau,0.048079,26.61297,0.073768,1.2292
2005,7642,Guinea-Bissau,0,0.120677,0.048362,2.100355
2006,7642,Guinea-Bissau,0.25,0.338085,0.050647,5.708642
2007,7642,Guinea-Bissau,0,0.03761,0.356253,6.615356
2008,7642,Guinea-Bissau,0.14761,0.164029,0.198312,2.076775
2009,7642,Guinea-Bissau,0,0.043305,0.004034,1.511184
2010,7642,Guinea-Bissau,0.03654,0.884909,0.270023,3.40158
2011,7642,Guinea-Bissau,0.000007,0.261369,4.224503,11.838657
2012,7642,Guinea-Bissau,0.001797,0.080618,0.1202,21.095196
2013,7642,Guinea-Bissau,0.000825,0.051991,0.192777,4.416043
2001,7643,Cape Verde,0.2,1.7,0.7,7.5
2002,7643,Cape Verde,0.3,1.8,0.7,9.7
2003,7643,Cape Verde,0.242962,5.63966,0.196417,9.119074
2004,7643,Cape Verde,0.204103,3.68593,0.049515,50.969205
2005,7643,Cape Verde,0.300471,2.62425,1.044885,9.871825
2006,7643,Cape Verde,0.035722,0.964765,0.070737,13.619116
2007,7643,Cape Verde,0.096549,2.154559,0.315588,5.571564
2008,7643,Cape Verde,0.06978,0.396525,0.963701,12.247224
2009,7643,Cape Verde,0.006485,0.805514,0.264733,6.387428
2010,7643,Cape Verde,0.107023,1.417882,1.405628,9.975829
2011,7643,Cape Verde,0.109239,1.467584,1.644619,11.46267
2012,7643,Cape Verde,0.105165,3.966021,0.612193,7.765222
2013,7643,Cape Verde,0.008411,1.494765,0.373903,5.774362
2001,7644,Sao Tome and Principe,0,0.3,0.1,10.7
2002,7644,Sao Tome and Principe,0,0.3,0.1,1.9
2003,7644,Sao Tome and Principe,0.033537,0.091319,0.013015,1.394508
2004,7644,Sao Tome and Principe,0,0.085557,0.178384,3.707514
2005,7644,Sao Tome and Principe,0,0.216017,7.609333,10.153283
2006,7644,Sao Tome and Principe,0,0.202775,0.014122,3.709233
2007,7644,Sao Tome and Principe,0.019379,0.393065,0.56122,8.414824
2008,7644,Sao Tome and Principe,0.023693,0.147617,0.269066,3.268944
2009,7644,Sao Tome and Principe,0.000363,0.213578,0.039515,4.018129
2010,7644,Sao Tome and Principe,0.005158,0.313597,0.051082,1.358738
2011,7644,Sao Tome and Principe,0.001722,0.981624,0.244498,6.123966
2012,7644,Sao Tome and Principe,0.017241,0.553482,0.082775,0.870234
2013,7644,Sao Tome and Principe,0.040136,0.085575,0,1.1183
2001,7650,Liberia,2.1,42.5,3.6,36.6
2002,7650,Liberia,3,45.7,3.2,27.8
2003,7650,Liberia,8.220096,59.485404,1.757957,33.31374
2004,7650,Liberia,6.395326,84.330883,10.674667,60.914602
2005,7650,Liberia,7.610093,90.827263,5.522989,69.32032
2006,7650,Liberia,9.510414,139.934121,4.127567,67.840342
2007,7650,Liberia,7.554907,115.201403,6.440174,75.769497
2008,7650,Liberia,15.249632,143.461589,5.863445,156.687752
